srcStateName,srcYear,Number of Domestic Tourist Visits,Number of Foreign Tourist Visits,Percentage share of Domestic Tourist Visits ( % ),Percentage share of Foreign Tourist Visits ( % ),Rank of different States or UTs in Domestic Tourist Visits,Rank of different States or UTs in Foreign Tourist Visits,YearCode,Year
Himachal Pradesh,2014,15924701,389699,1.23,1.73,17,12,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014,9438544,86477,0.73,0.38,21,18,2014,"Calendar Year (Jan - Dec), 2014"
Jharkhand,2014,33427144,154731,2.59,0.69,9,16,2014,"Calendar Year (Jan - Dec), 2014"
Karnataka,2014,118283220,561870,9.17,2.49,3,9,2014,"Calendar Year (Jan - Dec), 2014"
Kerala,2014,11695411,923366,0.91,4.09,19,7,2014,"Calendar Year (Jan - Dec), 2014"
Madhya Pradesh,2014,63614525,316195,4.93,1.4,7,13,2014,"Calendar Year (Jan - Dec), 2014"
Maharashtra,2014,94127124,4389098,7.3,19.45,4,2,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014,115499,2769,0.01,0.01,33,33,2014,"Calendar Year (Jan - Dec), 2014"
Meghalaya,2014,716469,8664,0.06,0.04,27,28,2014,"Calendar Year (Jan - Dec), 2014"
Mizoram,2014,68203,836,0.01,0,34,35,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014,58413,3679,0,0.02,35,32,2014,"Calendar Year (Jan - Dec), 2014"
Odisha,2014,10790622,71426,0.84,0.32,20,21,2014,"Calendar Year (Jan - Dec), 2014"
Puducherry,2014,1188093,83291,0.09,0.37,24,19,2014,"Calendar Year (Jan - Dec), 2014"
Punjab,2014,24271302,255449,1.88,1.13,13,14,2014,"Calendar Year (Jan - Dec), 2014"
Rajasthan,2014,33076491,1525574,2.56,6.76,10,5,2014,"Calendar Year (Jan - Dec), 2014"
Sikkim,2014,562418,49175,0.04,0.22,29,23,2014,"Calendar Year (Jan - Dec), 2014"
Tamil Nadu,2014,327555233,4657630,25.39,20.64,1,1,2014,"Calendar Year (Jan - Dec), 2014"
Tripura,2014,361247,26688,0.03,0.12,30,25,2014,"Calendar Year (Jan - Dec), 2014"
Telangana,2014,72399113,75171,5.61,0.33,6,20,2014,"Calendar Year (Jan - Dec), 2014"
Uttar Pradesh,2014,182820108,2909735,14.17,12.89,2,3,2014,"Calendar Year (Jan - Dec), 2014"
Uttarakhand,2014,21991315,101966,1.7,0.45,16,17,2014,"Calendar Year (Jan - Dec), 2014"
West Bengal,2014,49029590,1375740,3.8,6.1,8,6,2014,"Calendar Year (Jan - Dec), 2014"
A&N Island,2015,296684,14674,0.02,0.06,32,27,2015,"Calendar Year (Jan - Dec), 2015"
West Bengal,2015,70193450,1489500,4.9,6.39,8,5,2015,"Calendar Year (Jan - Dec), 2015"
Uttarakhand,2015,29496938,105882,2.06,0.45,12,20,2015,"Calendar Year (Jan - Dec), 2015"
Uttar Pradesh,2015,204888457,3104062,14.31,13.31,2,3,2015,"Calendar Year (Jan - Dec), 2015"
Tripura,2015,363172,34886,0.03,0.15,30,24,2015,"Calendar Year (Jan - Dec), 2015"
Telangana,2015,94516316,126078,6.6,0.54,6,18,2015,"Calendar Year (Jan - Dec), 2015"
Tamil Nadu,2015,333459047,4684707,23.29,20.08,1,1,2015,"Calendar Year (Jan - Dec), 2015"
Sikkim,2015,705023,38479,0.05,0.16,28,23,2015,"Calendar Year (Jan - Dec), 2015"
Rajasthan,2015,35187573,1475311,2.46,6.32,10,6,2015,"Calendar Year (Jan - Dec), 2015"
Punjab,2015,25796361,242367,1.8,1.04,14,15,2015,"Calendar Year (Jan - Dec), 2015"
Puducherry,2015,1297192,106153,0.09,0.46,24,19,2015,"Calendar Year (Jan - Dec), 2015"
Odisha,2015,11786117,66971,0.82,0.29,19,21,2015,"Calendar Year (Jan - Dec), 2015"
Nagaland,2015,64616,2769,0,0.01,35,33,2015,"Calendar Year (Jan - Dec), 2015"
Mizoram,2015,66605,798,0,0,34,36,2015,"Calendar Year (Jan - Dec), 2015"
Meghalaya,2015,751165,8027,0.05,0.03,27,28,2015,"Calendar Year (Jan - Dec), 2015"
Manipur,2015,146169,3260,0.01,0.01,33,32,2015,"Calendar Year (Jan - Dec), 2015"
Maharashtra,2015,103403934,4408916,7.22,18.9,5,2,2015,"Calendar Year (Jan - Dec), 2015"
Madhya Pradesh,2015,77975738,421365,5.45,1.81,7,11,2015,"Calendar Year (Jan - Dec), 2015"
Lakshadweep,2015,17241,1173,0,0.01,36,35,2015,"Calendar Year (Jan - Dec), 2015"
Kerala,2015,12465571,977479,0.87,4.19,18,7,2015,"Calendar Year (Jan - Dec), 2015"
Karnataka,2015,119863942,636502,8.37,2.73,4,9,2015,"Calendar Year (Jan - Dec), 2015"
Jammu & Kashmir,2015,9145016,58568,0.64,0.25,20,22,2015,"Calendar Year (Jan - Dec), 2015"
Jharkhand,2015,33079530,167785,2.31,0.72,11,17,2015,"Calendar Year (Jan - Dec), 2015"
Himachal Pradesh,2015,17125045,406108,1.2,1.74,17,12,2015,"Calendar Year (Jan - Dec), 2015"
Haryana,2015,7395496,303118,0.52,1.3,21,13,2015,"Calendar Year (Jan - Dec), 2015"
Gujarat,2015,36288463,284973,2.53,1.22,9,14,2015,"Calendar Year (Jan - Dec), 2015"
Goa,2015,4756422,541480,0.33,2.32,23,10,2015,"Calendar Year (Jan - Dec), 2015"
Delhi,2015,25258051,2379169,1.76,10.2,15,4,2015,"Calendar Year (Jan - Dec), 2015"
Daman & Diu,2015,790711,5858,0.06,0.03,26,30,2015,"Calendar Year (Jan - Dec), 2015"
Dadra & Nagar Haveli,2015,527782,1797,0.04,0.01,29,34,2015,"Calendar Year (Jan - Dec), 2015"
