srcStateName,srcYear,From Month,To Month,Age group of visitors,Gender,Type of visitors includes domestic or foreign,Number of overnight and day visitors ,YearCode,Year
Chandigarh,2014-15,May-2014,Apr-2015,45-60,Male,Foreign Overnight Visitors,12,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,45-60,Female,Foreign Overnight Visitors,10,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,45-60,Male,Domestic Overnight Visitors,17,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,45-60,Female,Domestic Overnight Visitors,10,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,45-60,Male,Domestic Day Visitors,17,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,45-60,Female,Domestic Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,35-44,Male,Foreign Same Day Visitors,9,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,35-44,Female,Foreign Same Day Visitors,2,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,35-44,Male,Foreign Overnight Visitors,19,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,35-44,Female,Foreign Overnight Visitors,8,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,35-44,Male,Domestic Overnight Visitors,17,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,35-44,Female,Domestic Overnight Visitors,12,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,35-44,Male,Domestic Day Visitors,48,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,35-44,Female,Domestic Day Visitors,5,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,25-34,Male,Foreign Same Day Visitors,15,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,25-34,Female,Foreign Same Day Visitors,4,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,25-34,Male,Foreign Overnight Visitors,15,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,25-34,Female,Foreign Overnight Visitors,3,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,25-34,Male,Domestic Overnight Visitors,86,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,25-34,Female,Domestic Overnight Visitors,18,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,25-34,Male,Domestic Day Visitors,441,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,25-34,Female,Domestic Day Visitors,40,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,15-24,Male,Foreign Same Day Visitors,30,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,15-24,Female,Foreign Same Day Visitors,6,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,15-24,Male,Foreign Overnight Visitors,12,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,15-24,Female,Foreign Overnight Visitors,5,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,15-24,Male,Domestic Overnight Visitors,103,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,15-24,Female,Domestic Overnight Visitors,20,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,15-24,Male,Domestic Day Visitors,682,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,15-24,Female,Domestic Day Visitors,78,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,> 60,Male,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,> 60,Female,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,> 60,Male,Foreign Overnight Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,> 60,Female,Foreign Overnight Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,> 60,Female,Domestic Overnight Visitors,6,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,> 60,Male,Domestic Day Visitors,254,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,> 60,Female,Domestic Day Visitors,12,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,45-60,Male,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,45-60,Female,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,45-60,Male,Foreign Overnight Visitors,72,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,45-60,Female,Foreign Overnight Visitors,16,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,45-60,Male,Domestic Overnight Visitors,1004,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,45-60,Female,Domestic Overnight Visitors,158,2014,"Calendar Year (Jan - Dec), 2014"
